id_aluno,nome,curso,periodo,disciplinas_cursadas,areas_interesse
979,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
980,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
981,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
982,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
983,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
984,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
985,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
986,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
987,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
988,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
989,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
990,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
991,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
992,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
993,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
994,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
995,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
996,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
997,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
998,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
999,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1000,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1001,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1002,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1003,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1004,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1005,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1006,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1007,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1008,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1009,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1010,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1011,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1012,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1013,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1014,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1015,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1016,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1017,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1018,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1019,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1020,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1021,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1022,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1023,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1024,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1025,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1026,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1027,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1028,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1029,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1030,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1031,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1032,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1033,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1034,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1035,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1036,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1037,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1038,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1039,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1040,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1041,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1042,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1043,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1044,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1045,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1046,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1047,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1048,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1049,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1050,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1051,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1052,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1053,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1054,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1055,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1056,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1057,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1058,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1059,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1060,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1061,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1062,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1063,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1064,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1065,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1066,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1067,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1068,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1069,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1070,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1071,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1072,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1073,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1074,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1075,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1076,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1077,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1078,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1079,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1080,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1081,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1082,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1083,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1084,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1085,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1086,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1087,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1088,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1089,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1090,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1091,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1092,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1093,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1094,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1095,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1096,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1097,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1098,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1099,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1100,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1101,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1102,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1103,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1104,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1105,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1106,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1107,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1108,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1109,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1110,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1111,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1112,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1113,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1114,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1115,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1116,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1117,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1118,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1119,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1120,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1121,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1122,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1123,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1124,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1125,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1126,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1127,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1128,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1129,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1130,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1131,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1132,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1133,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1134,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1135,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1136,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1137,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1138,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1139,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1140,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1141,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1142,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1143,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1144,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1145,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1146,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1147,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1148,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1149,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1150,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1151,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1152,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1153,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1154,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1155,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1156,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1157,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1158,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1159,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1160,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1161,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1162,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1163,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1164,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1165,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1166,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1167,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1168,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1169,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1170,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1171,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1172,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1173,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1174,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1175,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1176,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1177,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1178,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1179,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1180,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1181,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1182,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1183,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1184,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1185,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1186,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1187,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1188,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1189,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1190,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1191,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1192,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1193,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1194,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1195,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1196,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1197,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1198,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1199,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1200,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1201,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1202,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1203,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1204,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1205,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1206,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1207,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1208,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1209,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1210,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1211,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1212,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1213,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1214,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1215,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1216,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1217,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1218,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1219,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1220,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1221,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1222,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1223,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1224,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1225,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1226,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1227,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1228,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1229,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1230,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1231,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1232,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1233,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1234,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1235,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1236,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1237,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1238,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1239,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1240,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1241,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1242,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1243,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1244,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1245,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1246,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1247,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1248,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1249,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1250,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1251,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1252,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1253,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1254,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1255,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1256,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1257,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1258,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1259,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1260,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1261,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1262,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1263,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1264,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1265,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1266,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1267,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1268,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1269,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1270,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
1271,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
1272,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
1273,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
1274,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
1275,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
1276,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
1277,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
1278,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
